icao,iata,name,callsign,country,active
JMM,,Joint Military Commission,JOICOMAR,Sudan,N
JMT,,Jomartaxi Aereo,JOMARTAXI,Mexico,N
ODI,,Jonsson,H Air Taxi,ODINN,N
JAV,R5,Jordan Aviation,JORDAN AVIATION,Jordan,N
JCI,,Jordan International Air Cargo,,Jordan,N
JVK,,Jorvik,ISLANDIC,Iceland,N
JUR,,Ju-Air,JUNKERS,Switzerland,N
JFS,,Juanda Flying School,JAEMCO,Indonesia,N
JUC,,Juba Cargo Services & Aviation Company,JUBA CARGO,Sudan,N
JUB,,Jubba Airways,JUBBA,Somali Republic,N
DKE,,Jubilee Airways,DUKE,United Kingdom,N
DKH,HO,Juneyao Airlines,JUNEYAO AIRLINES,China,Y
MEY,,Justair Scandinavia,MELODY,Sweden,N
DOJ,,Justice Prisoner and Alien Transportation System,JUSTICE,United States,N
KDC,,K D Air Corporation,KAY DEE,Canada,N
KSA,,K S Avia,SKY CAMEL,Latvia,N
KMI,,K-Mile Air,KAY-MILE AIR,Thailand,N
KNI,KD,KD Avia,KALININGRAD AIR,Russia,Y
KLC,WA,KLM Cityhopper,CITY,Netherlands,Y
KLH,,KLM Helicopter,KLM HELI,Netherlands,N
KLM,KL,KLM Royal Dutch Airlines,KLM,Netherlands,Y
QNK,N2,Kabo Air,KABO,Nigeria,N
KMC,,Kahama Mining Corporation,KAHAMA,Tanzania,N
KAI,,Kaiser Air,KAISER,United States,N
CKS,K4,Kalitta Air,CONNIE,United States,N
KFS,,Kalitta Charters,KALITTA,United States,N
KES,,Kallat El Saker Air Company,KALLAT EL SKER,Libya,N
KMF,RQ,Kam Air,KAMGAR,Afghanistan,Y
KMP,E2,Kampuchea Airlines,KAMPUCHEA,Cambodia,N
KIZ,,Kanaf-Arkia Airlines,,Israel,N
KHE,,Kanfey Ha'emek Aviation,KANFEY HAEMEK,Israel,N
KSU,,Kansas State University,K-STATE,United States,N
AKT,V2,Karat,AVIAKARAT,Russia,N
KRB,,Karibu Airways Company,KARIBU AIR,Tanzania,N
KLG,,Karlog Air Charter,KARLOG,Denmark,N
KAJ,,Karthago Airlines,KARTHAGO,Tunisia,N
KAE,,Kartika Airlines,KARTIKA,Indonesia,N
KTV,,Kata Transportation,KATAVIA,Sudan,N
KTK,,Katekavia,KATEKAVIA,Russia,N
KAT,,Kato Airline,KATO-AIR,Norway,N
MVD,KV,Kavminvodyavia,AIR MINVODY,Russia,Y
XKA,,Kavouras Inc,,United States,N
KRN,,Kaz Agros Avia,ANTOL,Kazakhstan,N
KAW,,Kaz Air West,KAZWEST,Kazakhstan,N
KAO,,Kazan Aviation Production Association,KAZAVAIA,Russia,N
KPH,,Kazan Helicopters,KAMA,Russia,N
KKA,,Kazavia,KAKAIR,Kazakhstan,N
KZS,,Kazaviaspas,SPAKAZ,Kazakhstan,N
JFK,,Keenair Charter -,KEENAIR,United Kingdom,N
KLX,,Kelix Air,KELIX,Nigeria,N
FKL,,Kelner Airways,KELNER,Canada,N
KFA,,Kelowna Flightcraft Air Charter,FLIGHTCRAFT,Canada,N
KDA,,Kendell Airlines,KENDELL,Australia,Y
KEN,M5,Kenmore Air,KENMORE,United States,Y
KBA,,Kenn Borek Air,BOREK AIR,Canada,N
KAH,,Kent Aviation,DEKAIR,Canada,N
KQA,KQ,Kenya Airways,KENYA,Kenya,Y
KVS,,Kevis,KEVIS,Kazakhstan,N
KEY,,Key Airlines,KEY AIR,United States,N
LYM,,Key Lime Air,KEY LIME,United States,N
FTP,,Keystone Aerial Surveys,FOOTPRINT,United States,N
KEE,BZ,Keystone Air Services,KEYSTONE,Canada,N
KZW,,Khalifa Airways,KHALIFA AIR,Algeria,N
WKH,,Kharkov Aircraft Manufacturing Company,WEST-KHARKOV,Ukraine,N
KHR,,Khazar,KHAZAR,Turkmenistan,N
KHP,,Khoezestan Photros Air Lines,PHOTROS AIR,Iran,N
KRV,,Khoriv-Avia,KHORIV-AVIA,Ukraine,N
KHO,,Khors Aircompany,AIRCOMPANY KHORS,Ukraine,N
KHY,,Khyber Afghan Airlines,KHYBER,Afghanistan,N
UAK,,Kiev Aviation Plant,AVIATION PLANT,Ukraine,N
KNG,,King Aviation,KING,United Kingdom,N
BEZ,,Kingfisher Air Services,SEA BREEZE,United States,N
KFR,IT,Kingfisher Airlines,KINGFISHER,India,Y
KNX,,Knighthawk Air Express,KNIGHT FLIGHT,Canada,N
KAS,,Kingston Air Services,KINGSTON AIR,Canada,N
KIP,,Kinnarps,KINNARPS,Sweden,N
KNS,,Kinshasa Airways,KINSHASA AIRWAYS,Democratic Republic of the Congo,N
KTA,,Kirov Air Enterprise,VYATKA-AVIA,Russia,N
IRK,Y9,Kish Air,KISHAIR,Iran,Y
KHA,,Kitty Hawk Aircargo,AIR KITTYHAWK,United States,N
KHC,,Kitty Hawk Airways,CARGO HAWK,United States,N
KIA,KP,Kiwi International Air Lines,KIWI AIR,United States,N
KNA,,Knight Air,KNIGHTAIR,Canada,N
KHX,,Knighthawk Express,RIZZ,United States,N
KGT,,Knights Airlines,KNIGHT-LINER,Nigeria,N
KOA,,Koanda Avacion,KOANDA,Spain,N
OYE,,Koda International,KODA AIR,Nigeria,N
KGL,7K,Kogalymavia Air Company,KOGALYM,Russia,Y
KOM,,Kom Activity,COMJET,Netherlands,N
KMA,,Komiaviatrans State Air Enterprise,KOMI AVIA,Russia,N
KMV,8J,Komiinteravia,KOMIINTER,Russia,N
KNM,,Komsomolsk-on-Amur Air Enterprise,KNAAPO,Russia,N
KOB,,Koob-Corp - 96 KFT,AUTOFLEX,Hungary,N
KAL,KE,Korean Air,KOREANAIR,Republic of Korea,Y
KMG,,Kosmas Air,KOSMAS CARGO,Serbia,N
KSM,,Kosmos,KOSMOS,Russia,Y
KOS,,Kosova Airlines,KOSOVA,Serbia,N
WOK,,Kovar Air,WOKAIR,Czech Republic,N
KJC,7B,Krasnojarsky Airlines,KRASNOJARSKY AIR,Russia,Y
KFC,,Kremenchuk Flight College,KREMENCHUK,Ukraine,N
KRG,,Krimaviamontag,AVIAMONTAG,Ukraine,N
KRO,,Kroonk Air Agency,KROONK,Ukraine,N
KRI,K9,Krylo Airlines,Krylo,Russia,N
KYM,,Krym,CRIMEA AIR,Ukraine,N
OPC,,Krystel Air Charter,OPTIC,United Kingdom,N
KIL,GW,Kuban Airlines,AIR KUBAN,Russia,Y
KPA,VD,Kunpeng Airlines,KUNPENG,China,N
KZA,,Kurzemes Avio,,Russia,N
KBV,,Kustbevakningen,SWECOAST,Sweden,N
KAC,KU,Kuwait Airways,KUWAITI,Kuwait,Y
KZU,GO,Kuzu Airlines Cargo,KUZU CARGO,Turkey,Y
QVR,,Kvadro Aero,PEGASO,Kyrgyzstan,N
KWN,,Kwena Air,KWENA,South Africa,N
KGZ,N5,Kyrgyz Airlines,BERMET,Kyrgyzstan,N
KTC,,Kyrgyz Trans Avia,DINARA,Kyrgyzstan,N
LYN,QH,Kyrgyzstan,ALTYN AVIA,Kyrgyzstan,N
KGA,R8,Kyrgyzstan Airlines,KYRGYZ,Kyrgyzstan,N
DAM,,Kyrgyzstan Department of Aviation,FLIGHT RESCUE,Kyrgyzstan,N
KGB,,Kyrgz General Aviation,KEMIN,Kyrgyzstan,N
KYV,KY,Kibris T,AIRKIBRIS,Turkey,N
LAH,,L A Helicopter,STAR SHIP,United States,N
LJY,,L J Aviation,ELJAY,United States,N
LRB,,L R Airlines,LADY RACINE,Czech Republic,N
PHO,,L&L Flygbildteknik,PHOTOFLIGHT,Sweden,N
LEX,,L'Express,LEX,United States,N
FNT,,L-3 Communications Flight Internation Aviation,FLIGHT INTERNATIONAL,United States,N
LAB,JF,L.A.B. Flying Service,LAB,United States,N
LRC,LR,LACSA,LACSA,Costa Rica,Y
LDE,,LADE - Lineas Aereas Del Estado,LADE,Argentina,N
BNX,KG,LAI - Linea Aerea IAACA,AIR BARINAS,Venezuela,N
LAN,LA,LAN Airlines,LAN,Chile,Y
DSM,4M,LAN Argentina,LAN AR,Argentina,Y
LCO,,LAN Cargo,LAN CARGO,Chile,N
LNC,,LAN Dominica,LANCANA,Dominican Republic,N
LXP,LU,LAN Express,LANEX,Chile,Y
LPE,LP,LAN Peru,LANPERU,Peru,Y
LSA,,LANSA,INTERNACIONAL,Dominican Republic,N
APT,,LAP Colombia - Lineas Aereas Petroleras,S.A.,LAP,N
OTN,,LASTP,LASTP,S,N
LCB,,LC Busre,BUSRE,Peru,N
LOT,LO,LOT Polish Airlines,POLLOT,Poland,Y
LTE,XO,LTE International Airways,FUN JET,Spain,Y
LTO,L3,LTU Austria,BILLA TRANSPORT,Austria,Y
LTU,LT,LTU International,LTU,Germany,N
JFC,,LTV Jet Fleet Corporation,JET-FLEET,United States,N
LUK,,LUKoil-Avia,LUKOIL,Russia,N
ASK,,La Ronge Aviation Services,AIR SASK,Canada,N
LVT,,La Valenciana Taxi Aereo,TAXIVALENCIANA,Mexico,N
SKQ,,Labcorp,SKYLAB,United States,N
LAL,,Labrador Airways,LAB AIR,Canada,N
JEV,N6,Lagun Air,,Spain,N
HCA,,Lake Havasu Air Service,HAVASU,United States,N
LKL,,Lakeland Aviation,LAKELAND,United States,N
LKR,,Laker Airways,LAKER,United States,N
LBH,,Laker Airways (Bahamas),LAKER BAHAMAS,United States,N
LMR,,Lamra,LAMAIR,Sudan,N
TCR,,Lanaes Aereas Trans Costa Rica,TICOS,Costa Rica,N
ISL,,Landsflug,ISLANDIA,Iceland,N
PAP,,Langtry Flying Group,PROFLIGHT,United Kingdom,N
LKN,IK,Lankair,Lankair,Sri Lanka,N
LZA,,Lanza Air,AEROLANZA,Spain,N
LZT,,Lanzarote Aerocargo,BARAKA,Spain,N
LLL,,Lao Air Company,LAVIE,Lao Peoples Democratic Republic,N
LAO,QV,Lao Airlines,LAO,Lao Peoples Democratic Republic,Y
LKA,,Lao Capricorn Air,NAKLOA,Lao Peoples Democratic Republic,N
LPN,L7,Laoag International Airlines,LAOAG AIR,Philippines,N
LRD,,Laredo Air,LAREDO AIR,United States,N
LTC,,LatCharter,LATCHARTER,Latvia,Y
LAF,,Latvian Air Force,LATVIAN AIRFORCE,Latvia,N
LDA,NG,Lauda Air,LAUDA AIR,Austria,Y
LDI,,Lauda Air Italy,LAUDA ITALY,Italy,N
LEP,,Laughlin Express,LAUGHLIN EXPRESS,United States,N
LSU,,Laus,LAUS AIR,Croatia,N
LAR,,Lawrence Aviation,LAWRENCE,United States,N
LAY,,Layang-Layang Aerospace,LAYANG,Malaysia,N
LPL,,Lease-a-Plane International,LEASE-A-PLANE,United States,N
LAQ,LQ,Lebanese Air Transport,LAT,Lebanon,N
LAT,,Lebanese Air Transport (Charter),LEBANESE AIR,Lebanon,N
LAD,,Lebanon Airport Development Corporation,LADCO-AIR,United States,N
LCA,,Leconte Airlines,LECONTE,United States,N
LIA,LI,Leeward Islands Air Transport,LIAT,Antigua and Barbuda,Y
LGD,,Legend Airlines,LEGENDARY,United States,N
LWD,,Leisure Air,LEISURE WORLD,United States,N
LEN,,Lentini Aviation,LENTINI,United States,N
LOR,,Leo-Air,LEO CHARTER,South Africa,N
LEL,,Leonsa De Aviacion,LEONAVIA,Spain,N
LYW,,Libyan Airlines,LIBYAN AIRWAYS,Libya,N
LAA,LN,Libyan Arab Airlines,LIBAIR,Libya,Y
LCR,,Libyan Arab Air Cargo,LIBAC,Libya,N
LIQ,,Lid Air,,Sweden,N
LCG,,Lignes Aeriennes Congolaises,CONGOLAISE,Democratic Republic of the Congo,N
LKD,,Lignes Aeriennes Du Tchad,LATCHAD,Chad,N
LME,,Lignes Mauritaniennes Air Express,LIMAIR EXPRESS,Mauritania,N
GCB,,Lignes Nationales Aeriennes - Linacongo,LINACONGO,Republic of the Congo,N
GDQ,,Lincoln Air National Guard,,United States,N
LRT,,Lincoln Airlines,,Australia,N
LSY,,Lindsay Aviation,LINDSAY AIR,United States,N
NOT,,Linea Aerea Costa Norte,COSTA NORTE,Chile,N
LMC,,Linea Aerea Mexicana de Carga,LINEAS DECARGA,Mexico,N
LNP,L7,Linea Aerea SAPSA,SAPSA,Chile,N
NEG,,Linea Aerea de Fumig Aguas Negras,AGUAS NEGRAS,Chile,N
LER,8z,Linea Aerea de Servicio Ejecutivo Regional,LASER,Venezuela,N
LSE,,Linea De Aeroservicios,,Chile,N
TUY,LD,Linea Turistica Aerotuy,AEREOTUY,Venezuela,N
ALR,,Lineas Aereas Alaire S.L.,AEROLAIRE,Spain,N
LCD,ZE,Lineas Aereas Azteca,LINEAS AZTECA,Mexico,N
LCN,,Lineas Aereas Canedo LAC,CANEDO,Bolivia,N
LCM,,Lineas Aereas Comerciales,LINEAS COMERCIALES,Mexico,N
EDD,,Lineas Aereas Ejectuivas De Durango,LINEAS DURANGO,Mexico,N
EDR,,Lineas Aereas Eldorado,ELDORADRO,Colombia,N
FED,,Lineas Aereas Federales,FEDERALES,Argentina,N
LMN,,Lineas Aereas Monarca,LINEAS MONARCA,Mexico,N
LIJ,,Lineas Aereas San Jose,LINEAS JOSE,Mexico,N
UMA,,Lineas Aereas del Humaya,HUMAYA,Mexico,N
LEC,,Linex,LECA,Central African Republic,N
SMS,,Linhas Aereas Santomenses,SANTOMENSES,S,N
LAM,LM,Linhas A,MOZAMBIQUE,Mozambique,Y
LAW,,Link Airways of Australia,,Australia,N
WGT,,Lion Air Services,WORLDGATE,United Kingdom,N
LNI,JT,Lion Mentari Airlines,LION INTER,Indonesia,Y
LEU,,Lions-Air,LIONSAIR,Switzerland,N
LYF,,Lithuanian Air Force,LITHUANIAN AIRFORCE,Lithuania,N
LRA,,Little Red Air Service,LITTLE RED,Canada,N
LVG,LM,Livingston,LIVINGSTON,Italy,N
LLB,LB,Lloyd Aereo Boliviano,LLOYDAEREO,Bolivia,N
LNA,,Lnair Air Services,ELNAIR,Spain,N
XLG,,Lockheed Air Terminal,,United States,N
LAC,,Lockeed Aircraft Corporation,LOCKHEED,United States,N
XDD,,Lockheed DUATS,,United States,N
CBD,,Lockheed Martin Aeronautics,CATBIRD,United States,N
LNG,,Lockheed Martin Aeronautics Company,LIGHTNING,United States,N
LOG,,Logan Air,LOGAN,United Kingdom,N
CLV,,Lom Praha Flying School,AEROTRAINING,Czech Republic,N
LMS,,Lomas Helicopters,LOMAS,United Kingdom,N
LCY,,London City Airport Jet Centre,LONDON CITY,United Kingdom,N
LNX,,London Executive Aviation,LONEX,United Kingdom,N
LOV,,London Flight Centre (Stansted),LOVEAIR,United Kingdom,N
LHC,,London Helicopter Centres,MUSTANG,United Kingdom,N
LSS,,Lone Star Airlines,LONE STAR,United States,N
ORA,,Long Island Airlines,LONG ISLAND,United States,N
LGT,,Longtail Aviation,LONGTAIL,Bermuda,N
LRR,,Lorraine Aviation,LORRAINE,France,N
LSC,,Los Cedros Aviacion,CEDROS,Chile,N
TAS,,Lotus Air,LOTUS FLOWER,Egypt,N
LTW,,Luchtvaartmaatschappij Twente,TWENTAIR,Netherlands,N
LKE,,Lucky Air,LUCKY AIR,China,N
LUT,,Luft Carago,LUGO,South Africa,N
LVD,,Luftfahrt-Vermietungs-Dienst,AIR SANTE,Austria,N
LGW,HE,Luftfahrtgesellschaft Walter,WALTER,Germany,Y
DLH,LH,Lufthansa,LUFTHANSA,Germany,Y
GEC,LH,Lufthansa Cargo,LUFTHANSA CARGO,Germany,Y
CLH,CL,Lufthansa CityLine,HANSALINE,Germany,Y
LHT,,Lufthansa Technik,LUFTHANSA TECHNIK,Germany,N
LTF,DV,Lufttaxi Fluggesellschaft,Garfield,Germany,N
LTR,L5,Lufttransport,LUFT TRANSPORT,Norway,Y
LHS,,Luhansk,ENTERPRISE LUHANSK,Ukraine,N
UNY,,Lund University School of Aviation,UNIVERSITY,Sweden,N
LGL,LG,Luxair,LUXAIR,Luxembourg,Y
LXA,,Luxaviation,RED LION,Luxembourg,N
LUV,,Luxembourg Air Rescue,LUX RESCUE,Luxembourg,N
LFE,,Luxflight Executive,LUX EXPRESS,Luxembourg,N
LXO,,Luxor Air,,Egypt,N
LUZ,,Luzair,LISBON JET,Portugal,N
UKW,5V,Lviv Airlines,UKRAINE WEST,Ukraine,N
LYD,,Lydd Air,LYDDAIR,United Kingdom,N
LCH,,Lynch Flying Service,LYNCH AIR,United States,N
LYC,L2,Lynden Air Cargo,LYNDEN,United States,N
LXF,,Lynx Air International,LYNX FLIGHT,United States,N
LYX,,Lynx Aviation,LYNX AIR,Pakistan,N
LPR,MJ,L,LAPA,Argentina,Y
LAU,,L,SURAMERICANO,Colombia,N
JNH,,M & N Aviation,JONAH,United States,N
MCF,,MAC Fotografica,MAC FOTO,Spain,N
MRG,,MANAG'AIR,MANAG'AIR,France,N
MPJ,,MAP-Management and Planung,MAPJET,Austria,N
TFG,,MAS Airways,TRAFALGAR,United Kingdom,N
MAA,M7,MasAir,MAS CARGA,Mexico,Y
MAK,IN,MAT Macedonian Airlines,MAKAVIO,Macedonia,Y
MCC,,MCC Aviation,DISCOVERY,South Africa,N
MGA,,MG Aviacion,MAG AVACION,Spain,N
JLA,,MIA Airlines,SALLINE,Romania,N
MGL,OM,MIAT Mongolian Airlines,MONGOL AIR,Mongolia,Y
MNC,,MIT Airlines,MUNCIE,Canada,N
MKA,,MK Airline,KRUGER-AIR,Ghana,N
MNB,MB,MNG Airlines,BLACK SEA,Turkey,Y
EBF,,MSR Flug-Charter,SKYRUNNER,Germany,N
MCV,,MTC Aviacion,MTC AVIACION,Mexico,N
MAQ,,Mac Aviation,MAC AVIATION,Spain,N
MCN,,Mac Dan Aviation Corporation,MAC DAN,United States,N
MTD,,MacKnight Airlines,,Australia,N
MCK,CC,Macair Airlines,,Australia,Y
MCS,,Macedonian Airlines,MACAIR,Greece,N
MDH,,Madina Air,MADINA AIR,Libya,N
MJB,,Magic Blue Airlines,MAGIC BLUE,Netherlands,N
MGR,,Magna Air,MAGNA AIR,Austria,N
MLH,,Mahalo Air,MAHALO,United States,N
IRM,W5,Mahan Air,MAHAN AIR,Iran,Y
MZS,M2,Mahfooz Aviation,MAHFOOZ,Gambia,N
MAT,,Maine Aviation,MAINE-AV,United States,N
MAJ,,Majestic Airlines,MAGIC AIR,United States,N
AKM,,Mak Air,MAKAIR,Kazakhstan,N
MLG,,Malagasy Airlines,,Madagascar,N
MLX,,Malawi Express,MALAWI EXPRESS,Malawi,N
MKK,,Malaya Aviatsia Dona,AEROKEY,Russia,N
MAS,MH,Malaysia Airlines,MALAYSIAN,Malaysia,Y
MAE,,Mali Air,MALI AIREXPRESS,Austria,N
VXP,,Mali Air Express,AVION EXPRESS,Mali,N
MTZ,,Mali Airways,MALI AIRWAYS,Mali,N
MLC,,Malila Airlift,MALILA,Democratic Republic of the Congo,N
MLS,,Mall Airways,MALL-AIRWAYS,United States,N
SCW,,Malmo Aviation,SCANWING,Sweden,Y
LOD,,Malmoe Air Taxi,LOGIC,Sweden,N
SCW,TF,Malmö Aviation,Scanwings,Sweden,Y
MAC,R5,Malta Air Charter,MALTA CHARTER,Malta,Y
MWS,,Malta Wings,MALTA WINGS,Malta,N
MAH,MA,Malév,MALEV,Hungary,Y
MLB,,Manaf International Airways,MANAF,Burundi,N
MDL,RI,Mandala Airlines,MANDALA,Indonesia,Y
MDA,AE,Mandarin Airlines,Mandarin,Taiwan,Y
MNO,JE,Mango,TULCA,South Africa,Y
MHN,,Manhattan Air,MANHATTAN,United Kingdom,N
MTO,,Manitoulin Air Services,MANITOULIN,Canada,N
MNR,,Mann Air,TEEMOL,United Kingdom,N
MAN,,Mannion Air Charter,MANNION,United States,N
MTS,,Mantrust Asahi Airways,MANTRUST,Indonesia,N
MNX,,Manx Airlines,MANX,United Kingdom,N
MAD,,Maple Air Services,MAPLE AIR,Canada,N
MAR,,March Helicopters,MARCH,United Kingdom,N
MCP,,Marcopolo Airways,MARCOPOLO,Afghanistan,N
MGI,,Marghi Air,MARGHI,Nigeria,N
MRK,,Markair,MARKAIR,United States,N
MKO,,Markoss Aviation,GOSHAWK,United Kingdom,N
MRW,6V,Mars RK,AVIAMARS,Ukraine,N
MCE,,Marshall Aerospace,MARSHALL,United Kingdom,N
MSL,M7,Marsland Aviation,MARSLANDAIR,Sudan,N
XMA,,Martin Aviation Services,,United States,N
MBE,,Martin-Baker,MARTIN,United Kingdom,N
MPH,MP,Martinair,MARTINAIR,Netherlands,Y
MRA,,Martinaire,MARTEX,United States,N
MFA,,Martyn Fiddler Associates,SEAHORSE,United Kingdom,N
MVN,,Marvin Limited,MARVIN,United Kingdom,N
TRP,,Maryland State Police,TROOPER,United States,N
MTH,,Massachusetts Institute of Technology,RESEARCH,United States,N
MSY,,Massey University School of Aviation,MASSEY,New Zealand,N
MSW,,Master Airways,MASTER AIRWAYS,Serbia,N
MPL,,Master Planner,,United States,N
LMJ,,Masterjet,MASTERJET,Portugal,N
MIA,,Mauria,MAURIA,Mauritania,N
MNV,,Mauritanienne Aerienne Et Navale,NAVALE,Mauritania,N
MRF,,Mauritanienne Air Fret,MAUR-FRET,Mauritania,N
MWY,,Mauritanienne Airways,MAURITANIENNE,Mauritania,N
MDE,,Mauritanienne De Transport Aerien,MAURI-TRANS,Mauritania,N
MVR,,Maverick Airways,MAV-AIR,United States,N
MVL,H5,Mavial Magadan Airlines,Mavial,Russia,N
MAI,,Max Avia,MAX AVIA,Kyrgyzstan,N
MSF,,Max Sea Food,MAXESA,El Salvador,N
MAX,,Max-Aviation,MAX AVIATION,Canada,N
MXL,8M,Maxair,MAXAIR,Sweden,Y
MXU,,Maximus Air Cargo,CARGO MAX,United Arab Emirates,N
MXJ,MY,Maxjet Airways,MAX-JET,United States,N
MXS,,Maxsus-Avia,MAXSUS-AVIA,Uzbekistan,N
MXP,,May Air Xpress,BEECHNUT,United States,N
MYD,MW,Maya Island Air,MYLAND,Belize,Y
MYI,,Mayair,MAYAIR,Mexico,N
MBS,,Mbach Air,MBACHI AIR,Malawi,N
MCH,,McAlpine Helicopters,MACLINE,United Kingdom,N
MKL,,McCall Aviation,MCCALL,United States,N
DAC,,McDonnell Douglas,DACO,United States,N
MDS,,McNeely Charter Services,MID-SOUTH,United States,N
MEK,,Med-Trans of Florida,MED-TRANS,United States,N
MDM,,Medavia Company,MEDAVIA,Malta,N
MRZ,,Medical Air Rescue Services,MARS,Zimbabwe,N
MCL,,Medical Aviation Services,MEDIC,United Kingdom,N
MDF,,Mediterranean Air Freight,MED-FREIGHT,Greece,N
MDY,,Mediterranean Airways,,Egypt,N
MEJ,,Medjet International,MEDJET,United States,N
MGK,,Mega,MEGLA,Kazakhstan,N
MEL,,Mega Linhas Aereas,MEGA AIR,Brazil,N
MKN,,Mekong Airlines,MEKONG AIRLINES,Cambodia,N
MNJ,IM,Menajet,MENAJET,Lebanon,N
MXX,,Merchant Express Aviation,MERCHANT,Nigeria,N
MEC,,Mercury Aircourier Service,MERCAIR,United States,N
POV,,Meridian,AIR POLTAVA,Ukraine,N
MRD,,Meridian Air Cargo,MERIDIAN,United States,N
MHL,,Meridian Airlines,HASSIMAIR,Nigeria,N
DSL,,Meridian Aviation,DIESEL,United Kingdom,N
MEM,,Meridian Limited,MERIDIAN CHERRY,Ukraine,N
ISS,IG,Meridiana,MERAIR,Italy,Y
MEI,,Merlin Airways,AVALON,United States,N
MNA,MZ,Merpati Nusantara Airlines,MERPATI,Indonesia,Y
ASH,YV,Mesa Airlines,AIR SHUTTLE,United States,Y
MES,XJ,Mesaba Airlines,MESABA,United States,Y
MSQ,,Meta Linhas A,META,Brazil,N
MET,,Meteorological Research Flight,METMAN,United Kingdom,N
MER,,Methow Aviation,METHOW,United States,N
MVI,,Metro Business Aviation,,United Kingdom,N
MEX,,Metro Express,EAGLE EXPRESS,United States,N
MTR,,Metroflight,METRO,United States,N
MTJ,,Metrojet,METROJET,Hong Kong SAR of China,N
PIX,,Metropix UK,METROPIX,United Kingdom,N
MPS,,Metroplis,METRO REGIONAL,Netherlands,N
MXB,,Mex Blue,MEX BLUE,Mexico,N
MJT,,Mex-Jet,MEJETS,Mexico,N
MXA,MX,Mexicana de Aviaci,MEXICANA,Mexico,Y
MXT,,Mexico Transportes Aereos,TRANSMEX,Mexico,N
HUR,,Miami Air Charter,HURRICANE CHARTER,United States,N
BSK,GL,Miami Air International,BISCAYNE,United States,N
OWL,,Miami Valley Aviation,NIGHT OWL,United States,N
MPT,,Miapet-Avia,MIAPET,Armenia,N
BIB,,Michelin Air Services,,France,N
WIZ,,Micromatter Technology Solutions,WIZARD,United Kingdom,N
NYL,,Mid Airlines,NILE,Sudan,N
MPA,,Mid-Pacific Airlines,MID PAC,United States,N
MJR,,Midamerica Jet,MAJOR,United States,N
MEA,ME,Middle East Airlines,CEDAR JET,Lebanon,Y
MID,,Midland Airport Services,,United Kingdom,N
MFR,,Midline Air Freight,MIDLINE FREIGHT,United States,N
MIS,,Midstate Airlines,MIDSTATE,United States,N
MDW,JI,Midway Airlines,MIDWAY,United States,Y
FLA,,Midway Express,PALM,United States,N
FAX,,Midwest Air Freighters,FAIRFAX,United States,N
MEP,YX,Midwest Airlines,,United States,Y
MWA,MY,Midwest Airlines (Egypt),,Egypt,Y
NIT,,Midwest Aviation,NIGHTTRAIN,United States,N
MWT,,Midwest Aviation Division,MIDWEST,United States,N
HTE,,Midwest Helicopters De Mexico,HELICOPTERSMEXICO,Mexico,N
MAB,,Millardair,MILLARDAIR,Canada,N
RJM,,Millen Corporation,MILLEN,United Kingdom,N
MLK,,Millennium Air,NIGERJET,Nigeria,N
MFS,,Miller Flying Services,MILLER TIME,United States,N
OXO,,Million Air,MILL AIR,United States,N
MIM,,Mimino,MIMINO,Russia,N
NAB,,Mina Airline Company,,Egypt,N
OMR,,Minair,ORMINE,Central African Republic,N
EBE,,Minebea Technologies,MINEBEA,United States,N
MAZ,,Mines Air Services Zambia,MINES,Zambia,N
MNL,,Miniliner,MINILINER,Italy,N
MNS,,Ministic Air,MINISTIC,Canada,N
WDG,,Ministry of Agriculture,Fisheries and Food,WATCHDOG,N
LIR,,Minsk Aircraft Overhaul Plant,LISLINE,Belarus,N
MIR,,Miramichi Air Service,MIRAMICHI,Canada,N
MIF,,Miras,MIRAS,Kazakhstan,N
MOS,,Misr Overseas Airways,,Egypt,N
MAF,,Mission Aviation Fellowship,MISSI,Indonesia,N
MSN,,Missionair,MISIONAIR,Spain,N
MRN,,Missions Gouvernemtales Francaises,MARIANNE,France,N
BDG,,Mississippi State University,BULLDOG,United States,N
MVA,,Mississippi Valley Airways,VALAIR,United States,N
MSA,,Mistral Air,AIRMERCI,Italy,N
MBO,,Mobil Oil,MOBIL,Canada,N
MXE,,Mocambique Expresso,MOZAMBIQUE EXPRESS,Mozambique,N
MFZ,,Mofaz Air,MOFAZ AIR,Malaysia,N
MLE,,Moldaeroservice,MOLDAERO,Moldova,N
MDV,2M,Moldavian Airlines,MOLDAVIAN,Moldova,Y
MVG,,Moldova,MOLDOVA-STATE,Moldova,N
RRV,,Mombasa Air Safari,SKYROVER,Kenya,N
MON,ZB,Monarch Airlines,MONARCH,United Kingdom,Y
MNH,,Monarch Airlines,MONARCH AIR,United States,N
MFC,,Moncton Flying Club,EAST WIND,Canada,N
MDB,,Monde Air Charters,MONDEAIR CARGO,United Kingdom,N
MTI,,Monerrey Air Taxi,MONTERREY AIR,Mexico,N
MKY,,Monky Aerotaxis,MONKY,Mexico,N
MGX,YM,Montenegro Airlines,MONTAIR,Montenegro,Y
MNT,,Montserrat Airways,MONTSERRAT,Montserrat,N
MNY,,Mooney Aircraft Corporation,MOONEY FLIGHT,United States,N
MAL,,Morningstar Air Express,MORNINGSTAR,Canada,Y
MSS,,Morris Air Service,WASATCH,United States,N
MRO,,Morrison Flying Service,MORRISON,United States,N
